customer_id,order_size_variability,total_orders,total_sales,average_order_value,total_profit,average_profit_per_order,purchase_consistency,engagement_score,loyalty_status,shipping_mode_preference,promotion_response,churn_risk,recency,recency_score,frequency_score,monetary_score,rfm_score,segment,product_diversity,category_preference,first_purchase_date,last_purchase_date,customer_tenure,cross_buy_index,region_preference,customer_segment,state_preference,city_preference
AA-10315,1157.9900336515698,5,5563.56,1112.712,-362.8825,-72.5765,118 days,0.29411764705882354,Regular,Standard Class,0.45454545454545453,High,184,1,1,4,114,Big Spenders,3,Office Supplies,2014-03-31,2017-06-29,1186,9,Central,Consumer,Texas,Round Rock
AA-10375,126.50885693895113,9,1056.39,117.37666666666668,277.3824,30.82026666666667,95 days,0.5294117647058824,Regular,Standard Class,0.4,Low,19,4,4,1,441,Loyal Customers,3,Office Supplies,2014-04-21,2017-12-11,1330,7,East,Consumer,Georgia,Atlanta
AA-10480,176.22919417071796,4,1790.5120000000002,447.62800000000004,435.8274,108.95685,97 days,0.23529411764705882,Regular,Standard Class,0.08333333333333333,High,259,1,1,2,112,Others,3,Office Supplies,2014-05-04,2017-04-15,1077,7,Central,Consumer,Michigan,Detroit
AA-10645,429.22218831417126,6,5086.9349999999995,847.8224999999999,857.8033,142.96721666666667,72 days,0.35294117647058826,Regular,Standard Class,0.2222222222222222,Low,55,3,2,4,324,Big Spenders,3,Furniture,2014-06-22,2017-11-05,1232,9,East,Consumer,California,Georgetown
AB-10015,139.43237127534863,3,886.156,295.38533333333334,129.3465,43.1155,199 days,0.17647058823529413,New,First Class,0.3333333333333333,High,415,1,1,1,111,At Risk,3,Office Supplies,2014-02-18,2016-11-10,996,5,Central,Consumer,Washington,Seattle
AB-10060,1086.7284787395042,8,7755.62,969.4525,2054.5885,256.8235625,45 days,0.47058823529411764,Regular,Standard Class,0.2222222222222222,Low,54,3,3,4,334,Big Spenders,3,Office Supplies,2015-09-18,2017-11-06,780,8,East,Home Office,New York,New York City
AB-10105,2178.3099033589633,10,14473.570999999998,1447.3570999999997,5444.8055,544.48055,56 days,0.5882352941176471,Regular,Standard Class,0.7,Low,41,3,4,4,344,Potential Loyalists,3,Office Supplies,2014-12-20,2017-11-19,1065,9,Central,Consumer,Texas,Houston
AB-10150,130.64548225834352,5,966.71,193.342,313.6597,62.731939999999994,123 days,0.29411764705882354,Regular,Second Class,0.5,Low,41,3,1,1,311,Others,3,Office Supplies,2014-03-05,2017-11-19,1355,6,Central,Consumer,New York,Yonkers
AB-10165,83.04470252160039,8,1113.838,139.22975,220.813,27.601625,85 days,0.47058823529411764,Regular,Standard Class,0.6428571428571429,Low,25,4,3,1,431,Loyal Customers,3,Office Supplies,2014-11-16,2017-12-05,1115,7,West,Consumer,California,Los Angeles
AB-10255,128.15542708843734,9,914.5319999999999,101.61466666666666,264.5675,29.39638888888889,83 days,0.5294117647058824,Regular,Standard Class,0.42857142857142855,Low,166,2,4,1,241,Potential Loyalists,3,Office Supplies,2014-07-22,2017-07-17,1091,10,West,Home Office,New Mexico,Carlsbad
